propertyType,bedrooms,bathrooms,squareFeet,lot_size,oceanProximity,yearBuilt,price,has_garage,has_pool
Townhouse,5,2,3747,12533,INLAND,1942,1502621,False,False
Villa,1,2,827,5201,<1H OCEAN,1960,663375,True,False
Condo,4,2,3900,8998,<1H OCEAN,1978,140247,True,False
Villa,4,2,1433,12279,NEAR BAY,2004,2017876,True,False
Villa,5,1,1011,7331,<1H OCEAN,1921,1944377,False,True
Apartment,3,1,1487,11271,INLAND,1950,182312,False,False
Condo,5,2,2303,12951,NEAR OCEAN,1903,1705578,True,False
Condo,2,3,871,2290,NEAR OCEAN,1948,2491744,False,False
Condo,5,3,2957,8960,NEAR OCEAN,2010,675845,True,False
Villa,2,3,1936,7738,<1H OCEAN,1938,2264716,True,False
Townhouse,1,3,2220,14994,<1H OCEAN,1986,899799,False,False
Condo,4,1,1031,5423,NEAR OCEAN,1976,1518523,False,False
Villa,4,1,842,13358,INLAND,1971,851254,False,False
Apartment,3,3,1064,5499,INLAND,1900,904766,False,False
Townhouse,5,1,2631,10173,NEAR BAY,1940,2252385,False,False
Apartment,1,3,845,9804,NEAR OCEAN,1949,1104732,False,True
Townhouse,2,2,2775,7568,NEAR OCEAN,1980,2923183,False,True
Villa,3,2,2475,2843,INLAND,1916,835418,False,False
House,1,3,3972,2913,NEAR OCEAN,1907,258895,True,False
Townhouse,1,1,3085,6439,NEAR BAY,1966,2965424,False,False
Apartment,2,3,3448,7667,INLAND,1992,2830590,False,True
Villa,2,1,2069,9896,INLAND,2017,1236610,False,True
Townhouse,4,2,3538,5990,<1H OCEAN,1985,2462810,True,True
House,5,1,3823,11168,NEAR BAY,2006,1920328,True,False
House,3,3,3590,13518,<1H OCEAN,1965,891844,False,False
Condo,5,2,3970,12284,NEAR BAY,1901,2424592,True,False
Condo,3,2,1526,3200,<1H OCEAN,2011,1420989,False,False
Apartment,1,1,3047,9389,NEAR OCEAN,1916,2867185,True,True
Townhouse,2,2,1812,3648,INLAND,1972,2509690,True,False
Townhouse,2,2,3284,2121,NEAR OCEAN,1932,1225775,True,True
Condo,1,1,1293,6370,NEAR OCEAN,1992,1796723,True,False
Townhouse,1,2,1506,11151,NEAR BAY,1992,906760,False,False
Townhouse,3,3,2871,5815,NEAR BAY,1953,2486990,True,False
House,1,1,2805,6407,NEAR BAY,2007,1723835,True,False
Condo,3,1,3117,3352,NEAR OCEAN,2020,800456,True,False
Villa,5,1,3637,7222,INLAND,1969,1289116,False,True
Condo,2,1,1537,2687,<1H OCEAN,2006,522240,True,False
